Company,Ticker,Sep-19,Jun-19,Mar-19,Dec-18,Sep-18,Jun-18,Mar-18,Dec-17,Sep-17,Jun-17,Mar-17,Dec-16,Sep-16,Jun-16,Mar-16,Dec-15,Sep-15,Jun-15,Mar-15,Dec-14,Sep-14,Jun-14,Mar-14,Dec-13,Sep-13,Jun-13,Mar-13,Dec-12,Sep-12,Jun-12,Mar-12,Dec-11,Sep-11,Jun-11,Mar-11,Dec-10,Sep-10,Jun-10,Mar-10,Dec-09,Sep-09,Jun-09,Mar-09,Dec-08,Sep-08,Jun-08
Adani Ports & Special Economic Zone Ltd.,ADSEZ IS Equity,2.35,2.36,3.26,4.42,3.32,1.74,3.38,2.54,3.29,2.41,4.04,3.59,4.43,2.91,3.15,3.07,5.12,2.97,2.68,2.87,2.56,2.44,2.55,2.30,1.68,3.28,2.45,2.07,2.14,2.09,1.69,1.55,1.36,1.27,1.67,1.14,1.06,5.27,2.40,0.81,0.87,4.26,3.77,2.52,2.80,2.42
Asian Paints Ltd.,APNT IS Equity,8.24,6.80,4.98,6.58,5.01,5.65,5.12,5.51,4.94,4.18,4.60,4.44,4.54,5.23,4.18,4.42,3.87,4.46,3.54,3.68,3.39,3.22,2.78,3.21,3.24,2.96,2.50,3.25,23.33,28.63,25.50,26.11,22.20,26.11,17.87,21.54,20.45,20.95,16.40,18.63,25.91,17.14,10.26,5.22,12.69,10.22
Axis Bank Ltd.,AXSB IS Equity,-0.43,5.29,5.85,6.54,3.07,2.73,-8.53,3.00,1.80,5.45,5.12,2.42,1.34,6.52,9.05,9.15,8.06,8.34,9.22,8.05,6.83,7.08,7.85,6.84,5.81,30.07,34.39,31.56,27.11,27.88,30.94,26.73,22.33,22.92,24.87,21.77,18.01,18.26,18.92,16.29,14.64,15.64,16.20,13.95,11.23,9.22
Bajaj Auto Ltd.,BJAUT IS Equity,48.50,38.90,45.10,38.10,39.80,38.50,37.30,32.90,38.40,31.90,27.70,32.00,38.80,33.80,32.80,33.50,36.40,33.10,21.50,29.80,20.40,25.60,26.40,31.30,28.90,25.50,26.50,28.30,25.60,24.80,26.70,27.50,25.10,24.60,48.40,23.10,23.60,20.40,18.30,16.40,13.90,20.30,9.00,11.40,12.80,12.10
Bajaj Finance Ltd.,BAF IS Equity,23.83,19.49,19.31,17.74,15.97,14.49,12.92,12.03,10.73,8.34,8.22,10.27,7.60,7.91,5.89,7.64,5.24,54.34,46.28,51.73,39.52,42.46,36.61,39.07,33.56,35.45,35.42,37.30,30.24,32.62,28.60,32.76,23.85,24.79,19.40,20.87,14.42,12.78,5.88,7.46,5.93,4.16,4.12,3.08,1.25,0.82
Bajaj Finserv Ltd.,BJFIN IS Equity,21.70,0.63,0.10,0.50,18.30,0.40,0.70,0.70,7.30,0.20,0.40,0.40,2.60,1.00,4.20,0.60,4.50,0.90,2.80,0.90,3.80,0.50,0.70,0.30,3.50,0.70,-1.10,0.70,3.20,0.70,0.50,1.00,2.90,0.80,9.70,0.80,1.60,0.90,0.40,0.30,0.90,0.60,0.40,0.80,1.00,0.07
Bharat Petroleum Corpn. Ltd.,BPCL IS Equity,8.69,5.47,15.89,2.52,6.20,11.66,13.67,10.90,11.99,3.79,9.36,11.55,6.64,13.32,16.14,10.68,7.15,16.32,39.45,7.62,6.42,16.82,56.26,-15.06,12.88,2.08,66.35,22.79,69.63,-122.21,54.80,43.42,-44.66,-35.43,25.87,5.18,59.25,-47.52,19.45,10.49,-4.39,16.99,100.35,22.12,-72.61,-29.50
Bharti Airtel Ltd.,BHARTI IS Equity,-47.77,-2.81,-0.15,0.57,-1.33,-3.41,-1.90,0.16,1.24,0.70,-35.47,1.06,6.01,3.57,4.24,4.46,5.64,6.12,9.57,5.70,12.35,5.41,5.15,4.50,4.46,2.51,2.86,1.98,4.72,3.87,4.15,3.73,3.44,3.77,4.84,4.87,5.53,5.09,5.61,6.09,6.05,14.16,5.47,5.31,4.23,10.78
Britannia Industries Ltd.,BRIT IS Equity,20.50,10.41,12.05,12.60,11.80,10.25,10.19,10.38,20.43,17.39,16.39,17.62,18.97,17.54,15.99,16.40,17.13,14.23,11.76,10.05,21.10,8.99,7.63,8.04,7.99,7.21,7.35,4.77,3.82,3.64,4.44,4.53,3.17,3.50,3.62,3.13,2.67,2.75,5.14,2.44,4.94,19.83,5.64,19.32,22.30,16.89
Cipla Ltd.,CIPLA IS Equity,9.15,8.61,7.87,3.67,7.06,4.85,2.79,5.20,7.03,3.22,0.32,4.25,4.10,3.47,0.11,2.82,6.63,8.65,2.66,3.72,4.18,4.14,3.44,3.25,4.68,5.91,3.33,4.22,6.23,4.99,3.63,3.37,3.85,3.16,2.67,2.90,3.27,3.21,3.43,3.60,3.55,3.11,3.25,2.87,1.95,1.80
Dr. Reddy'S Laboratories Ltd.,DRRD IS Equity,82.36,33.06,12.22,24.08,20.86,19.82,10.65,17.90,6.07,-0.44,13.46,26.49,18.91,24.13,-2.26,13.89,40.02,28.85,33.54,4.20,25.45,35.42,27.71,36.63,45.47,3.82,22.27,20.41,21.38,10.47,12.49,6.37,8.17,26.82,9.80,15.53,13.02,14.48,14.99,9.98,11.68,13.50,9.27,6.16,5.40,12.49
Eicher Motors Ltd.,EIM IS Equity,209.05,182.60,176.12,183.86,176.54,216.86,95.47,173.34,178.69,181.62,151.26,152.63,145.71,124.10,140.26,92.97,84.19,73.27,78.75,45.78,52.02,49.21,59.39,24.79,22.88,19.48,36.00,12.65,12.21,11.96,16.79,23.32,6.76,10.73,5.37,13.32,3.16,8.24,3.46,6.66,2.82,2.25,2.19,4.15,7.26,8.30
G A I L (India) Ltd.,GAIL IS Equity,2.36,2.85,4.98,7.46,4.35,5.58,4.53,5.60,5.81,4.55,1.15,5.81,5.47,7.89,6.07,5.33,2.60,3.06,4.03,4.76,10.27,4.90,7.66,13.24,7.22,6.37,4.87,10.13,7.77,8.94,3.81,8.60,8.63,7.76,6.17,7.63,7.28,6.99,7.18,6.78,5.62,5.17,4.97,2.00,8.07,7.07
Grasim Industries Ltd.,GRASIM IS Equity,8.02,3.07,6.88,9.25,-18.05,9.77,5.68,7.21,8.97,7.44,6.76,7.10,12.69,6.87,3.91,5.83,8.18,14.41,3.37,10.20,32.60,11.52,14.18,13.73,45.04,24.63,40.57,21.57,41.72,29.76,26.55,29.93,37.60,34.25,43.13,30.83,30.49,24.41,31.55,28.56,73.54,57.86,41.96,35.94,45.75,56.08
H C L Technologies Ltd.,HCLT IS Equity,16.46,13.22,14.97,14.81,15.47,14.26,13.22,14.14,12.84,12.35,12.06,11.78,11.98,12.76,11.86,11.72,9.95,10.21,11.13,11.86,12.01,14.17,10.10,18.58,18.52,20.78,11.99,10.44,10.09,9.51,5.78,7.16,5.77,5.61,4.84,4.19,2.87,3.51,3.89,3.80,4.49,2.88,2.28,5.95,3.80,-0.21
H D F C Bank Ltd.,HDFCB IS Equity,11.60,10.20,21.60,20.60,9.40,17.70,18.50,17.90,16.10,15.20,15.60,15.20,13.60,12.80,13.30,13.30,11.50,10.70,11.40,11.50,9.90,9.30,9.70,9.80,8.30,7.70,8.00,7.90,6.60,6.00,6.20,6.10,5.10,4.70,4.80,4.70,4.00,17.70,18.30,18.70,16.10,14.20,14.80,14.60,12.40,11.00
Hero Motocorp Ltd.,HMCL IS Equity,43.80,62.95,36.57,38.52,48.88,45.52,48.44,40.33,50.60,45.77,35.94,38.66,50.29,44.22,41.73,39.72,39.37,37.44,31.63,29.19,38.23,28.18,27.76,26.27,24.11,27.47,28.75,24.43,22.06,30.82,30.22,30.70,30.23,27.94,25.12,25.48,25.32,24.62,29.99,26.83,29.90,25.04,20.14,15.04,15.34,13.66
Hindalco Industries Ltd.,HNDL IS Equity,0.36,0.10,1.06,1.11,1.38,1.86,1.69,1.70,1.76,1.30,2.40,1.56,1.30,1.44,-1.22,0.20,1.32,0.30,0.77,1.74,0.38,1.59,1.20,1.62,1.85,2.48,2.52,2.26,1.87,2.22,3.34,2.35,2.62,3.36,3.70,2.41,2.27,2.79,3.47,2.41,2.02,2.83,1.58,3.37,5.32,5.15
Hindustan Unilever Ltd.,HUVR IS Equity,8.54,8.11,7.11,6.67,7.04,7.06,6.24,6.13,5.90,5.93,5.47,4.80,5.06,5.42,5.15,4.49,4.54,4.94,4.71,5.79,4.57,4.89,4.03,4.91,4.23,4.71,3.64,4.03,3.73,6.16,3.18,3.49,3.19,2.90,2.61,2.92,2.59,2.44,2.43,2.98,1.96,2.47,1.81,2.87,2.51,2.56
Housing Development Finance Corpn. Ltd.,HDFC IS Equity,22.94,18.60,16.68,12.29,14.60,12.96,12.87,33.06,12.42,8.96,12.15,10.60,11.54,11.79,16.15,9.62,10.02,8.64,11.81,9.07,8.64,8.61,11.00,8.19,8.13,7.57,10.09,7.39,7.59,6.77,8.97,6.65,6.60,5.75,7.76,6.09,5.53,4.80,6.45,4.69,4.66,19.82,25.71,19.20,18.75,16.44
I C I C I Bank Ltd.,ICICIBC IS Equity,1.01,2.96,1.50,2.49,1.41,-0.19,1.59,2.57,3.21,3.20,3.16,3.81,4.85,3.49,1.21,5.20,5.22,5.13,5.04,4.99,4.68,4.60,4.59,4.39,20.38,19.71,19.98,19.51,16.97,15.74,16.50,14.99,13.05,11.56,12.61,12.48,10.91,9.20,9.02,9.89,9.34,7.89,6.68,11.43,9.11,6.54
I T C Ltd.,ITC IS Equity,3.28,2.59,2.84,2.62,2.42,2.31,2.41,2.54,2.17,2.11,2.20,2.18,2.07,1.97,1.97,2.08,1.88,1.80,2.95,3.30,3.04,2.75,2.87,3.01,2.82,2.39,2.44,2.61,2.34,2.05,2.07,2.19,1.95,1.72,1.66,1.81,1.63,1.40,1.35,1.50,1.33,2.33,2.15,2.40,2.13,1.99
Indian Oil Corpn. Ltd.,IOCL IS Equity,0.61,3.92,6.46,0.76,3.43,7.21,5.51,8.32,3.90,4.80,3.93,8.43,6.59,17.45,4.23,6.53,-0.95,27.81,25.89,-10.86,-3.70,10.39,38.67,-3.96,6.94,-12.74,59.77,13.72,39.59,-92.47,52.19,10.25,-30.83,-15.32,16.08,6.73,21.80,-13.96,22.89,2.87,1.17,15.17,27.28,12.41,-59.10,3.48
Indusind Bank Ltd.,IIB IS Equity,19.97,20.68,5.98,16.37,15.32,17.25,15.88,15.62,14.70,13.98,12.57,12.57,11.81,11.11,10.43,9.80,9.54,9.90,9.36,8.46,8.16,8.01,7.54,6.62,6.30,6.41,5.89,5.51,5.33,5.05,4.78,4.41,4.14,3.87,3.69,3.32,3.21,2.89,2.39,2.15,2.05,2.44,1.42,1.27,0.95,0.59
Infosys Ltd.,INFO IS Equity,8.97,8.26,8.75,8.01,8.88,8.02,7.23,13.14,7.79,14.87,15.51,15.67,15.13,13.85,14.76,13.77,14.14,12.59,13.16,13.37,12.92,11.90,25.22,23.94,40.50,39.19,40.14,39.46,39.57,38.38,39.61,38.92,31.73,28.80,30.15,28.59,28.59,24.93,24.07,25.66,25.08,25.56,27.38,27.92,24.28,22.07
J S W Steel Ltd.,JSTL IS Equity,12.14,5.99,7.27,7.87,9.36,9.72,9.29,4.68,3.51,1.75,4.18,3.41,2.79,4.51,1.53,10.71,6.05,4.73,7.46,16.81,31.16,32.81,32.84,26.64,3.85,-9.47,25.33,5.76,36.49,11.69,33.35,7.18,5.33,25.56,36.96,17.21,23.38,18.29,37.89,27.04,23.69,17.72,2.18,-7.27,16.52,11.27
Kotak Mahindra Bank Ltd.,KMB IS Equity,9.03,7.13,7.38,6.77,5.99,5.38,5.90,5.53,5.22,4.88,5.31,4.79,4.43,4.04,3.80,3.47,3.28,2.08,3.42,3.01,2.89,5.58,5.29,4.42,4.59,5.32,5.85,4.86,3.77,3.81,4.01,3.74,3.52,3.42,3.38,2.56,2.72,2.69,2.91,2.05,1.82,2.61,2.97,2.06,1.39,1.58
Larsen & Toubro Ltd.,LT IS Equity,14.14,9.92,16.95,11.66,12.51,6.51,17.45,8.72,8.30,3.99,8.96,6.68,19.44,3.91,25.67,8.61,13.37,6.06,22.18,11.41,11.23,9.63,29.39,13.40,9.35,7.19,19.17,12.17,11.78,9.40,31.37,16.21,13.07,12.24,27.70,13.84,11.48,11.05,22.69,11.68,9.90,27.28,19.51,10.32,7.87,8.60
Mahindra & Mahindra Ltd.,MM IS Equity,10.17,19.42,7.13,9.04,13.86,10.26,8.90,10.23,11.20,6.31,5.24,9.10,17.98,16.11,8.08,14.09,15.47,14.37,9.32,15.95,16.03,14.94,15.19,15.82,16.76,15.89,15.06,14.17,15.30,12.32,14.85,11.26,12.55,10.30,10.33,12.59,13.36,9.94,10.17,7.56,12.87,7.35,7.67,1.60,8.15,6.66
Maruti Suzuki India Ltd.,MSIL IS Equity,44.97,47.52,59.44,49.30,74.17,65.39,62.30,59.56,82.24,51.52,56.62,57.84,79.50,49.35,48.87,39.16,49.56,39.99,42.51,26.55,28.55,25.23,26.48,22.55,22.19,20.91,41.04,17.35,7.87,14.67,22.15,7.12,8.32,19.01,22.84,19.56,20.71,16.11,22.73,23.80,19.73,20.20,8.42,7.39,10.25,16.12
N T P C Ltd.,NTPC IS Equity,3.30,2.63,4.40,1.94,2.45,2.62,2.43,2.86,2.95,3.18,2.52,2.99,3.03,2.83,3.39,3.23,3.69,2.76,3.57,3.73,2.51,2.67,3.75,3.47,3.03,3.06,5.31,3.15,3.81,3.03,3.15,2.58,2.94,2.52,3.37,2.88,2.56,2.23,2.45,2.87,2.61,2.66,2.57,2.73,2.56,2.09
Nestle India Ltd.,NEST IS Equity,61.76,45.41,48.05,35.45,46.27,40.97,43.98,32.34,35.59,27.32,31.82,20.27,27.94,24.92,29.80,19.00,12.88,-6.68,33.22,33.85,32.28,29.86,26.88,29.22,29.56,28.14,28.95,28.93,27.72,25.51,28.60,23.94,27.09,22.18,26.52,21.10,22.67,20.21,20.94,11.72,18.96,16.80,20.46,12.56,13.67,12.56
Oil & Natural Gas Corpn. Ltd.,ONGC IS Equity,4.98,4.69,3.18,6.44,6.44,4.79,4.61,3.91,4.00,3.03,3.38,3.39,3.88,3.30,3.60,1.14,5.47,6.27,4.60,4.17,6.36,5.59,5.71,8.33,7.09,4.69,3.96,6.50,6.89,7.10,6.60,7.88,10.10,4.79,3.26,8.28,6.30,4.28,4.41,14.28,23.80,22.67,10.32,11.57,22.48,30.82
Power Grid Corpn. Of India Ltd.,PWGR IS Equity,4.83,4.64,5.84,4.46,4.42,4.28,3.84,3.90,4.10,3.79,3.66,3.69,3.59,3.44,3.01,3.07,2.71,2.59,2.70,2.35,2.30,2.17,2.24,2.20,2.67,2.25,2.40,2.44,2.43,1.88,2.23,1.75,1.53,1.52,1.62,1.35,1.55,1.67,2.39,1.16,1.09,1.30,2.16,0.88,0.94,0.73
Reliance Industries Ltd.,RIL IS Equity,15.31,14.26,13.50,14.08,13.98,13.92,13.73,13.40,13.03,12.92,12.91,12.70,12.20,23.28,22.32,22.50,20.20,19.70,19.30,15.70,17.70,17.50,17.40,17.10,17.00,16.60,17.30,17.00,16.70,13.80,12.90,13.60,17.40,17.30,16.40,15.70,15.10,14.80,14.40,12.13,11.80,11.20,11.50,11.10,27.00,28.30
State Bank Of India,SBIN IS Equity,3.37,2.59,0.94,4.43,1.06,-5.46,-8.92,-2.80,1.83,2.44,3.55,3.36,3.27,3.25,1.64,1.43,5.08,4.88,5.01,3.90,4.15,4.49,4.18,32.66,34.72,47.38,49.13,50.61,54.51,55.91,63.76,51.39,44.26,24.94,0.33,44.54,39.39,45.90,29.40,39.05,39.22,36.71,43.23,39.04,35.61,25.92
Sun Pharmaceutical Inds. Ltd.,SUNP IS Equity,3.43,3.18,4.45,-0.16,-3.36,2.47,2.10,1.34,2.41,-5.37,0.40,-0.07,0.80,-0.60,0.20,-0.60,-2.50,-1.70,-0.30,-6.28,-2.90,3.30,0.79,0.41,0.03,0.22,0.29,0.70,1.79,1.40,6.80,3.50,4.20,4.10,3.60,3.30,3.30,15.60,2.50,3.10,9.80,5.90,3.30,12.40,14.60,13.60
Tata Consultancy Services Ltd.,TCS IS Equity,23.02,23.22,20.85,19.95,19.92,18.64,17.65,15.85,15.01,17.05,29.61,30.88,30.24,29.32,29.07,30.40,29.04,28.59,17.65,29.16,25.48,26.02,23.54,24.36,28.60,17.65,15.37,16.45,19.04,14.33,12.99,16.17,16.27,10.52,10.99,10.46,9.24,7.93,16.11,7.93,6.87,6.51,13.86,6.18,5.98,6.15
Tata Motors Ltd.,TTMT IS Equity,-3.78,-0.29,0.30,1.80,0.31,3.48,-1.47,0.61,-0.83,-1.36,-2.37,-3.08,-1.86,0.16,1.16,-0.40,-0.85,0.86,-3.58,-6.53,-5.73,1.20,-2.54,3.87,-2.50,2.18,-0.98,-1.44,2.70,0.63,1.77,0.53,0.31,1.25,1.79,1.32,1.51,6.68,-0.59,7.36,14.12,9.93,0.50,-5.51,9.00,8.46
Tata Steel Ltd.,TATA IS Equity,33.00,13.05,21.37,21.05,28.14,19.85,9.38,12.55,12.14,4.77,13.32,11.95,2.12,5.48,4.91,2.77,-3.57,4.08,7.94,8.61,25.04,22.90,19.93,15.18,15.59,13.51,13.02,10.31,13.44,13.51,15.65,14.35,15.12,22.74,18.09,16.77,22.98,17.80,16.67,13.43,10.89,10.37,15.86,5.94,10.89,19.94
